estateName,road,facility,,,,
东湖·水漾人家,估价对象所在小区东临金地路；西临其他；南临繁清路；北临其他。,周边有“外滩1号”、“滨江苑”等住宅楼盘，区域内爱斯顿幼儿园、繁江小学、繁江中学、金龙村卫生站、新都区东湖康复医院、新繁综合市场、红旗超市、农商银行、建设银行、邮政银行等公共及生活配套设施，区域内316路、678路、686路等公交车经过，公共交通便捷度较好，道路通达度较好，区域内居家生活较便利。,,,,
金泉秀岭,估价对象所在小区北临其他；西临其他；南临十里大道二段；东临道路。,周边有“今日润岭”、“观岭国际社区”等住宅楼盘，区域内有金沙小学(金沙街)、蕊蕊幼儿园、金堂龙济医院、威尼斯广场、十里社区-生活品临时市场、中国民生银行(金堂支行)、中国农业银行等公共及生活配套设施，区域内有602路、金堂7路、金堂10路、金堂11路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
东方桂苑,估价对象所在小区东北临道路；东南临海椒市横街；西南临海椒市东街；西北临其他；。,周边有“东桂苑七号院”、“瑞升·莲花逸都”等住宅楼盘，区域内有盐道街小学、成都市娇子小学、四川师大附中（初中部）、成都锦江瑞康医院、锦江区中医医院、新视界广场、莲花菜市场、东城菜市场、中国光大银行、中国银行、华夏银行等公共及生活配套设施；区域内有：51路、65路、75路、91路、106路、114路、182路等公交车经过，距地铁2号线“牛市口”沿路约350米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
蜀风庭院,估价对象所在小区北临平安路、石顺路；西临其他；东临平安路；南临郫花路。,周边有桂溪欧苑、红枫别苑等住宅楼盘，区域内有蓓蓓幼儿园、稚力佳幼儿园、清河小学、顺安村卫生站、释迦桥菜市场、家家发超市、艾家副食超市、农村商业银行等公共及生活配套设施，区域内有p36路、p43路、716路等公交车经过，公共交通便捷度较好，道路通达度好，区域内居家生活较便利。,,,,
怡景阳光,估价对象所在小区南临石家碾东路；东临其他；西临其他；北临同华大道。,周边有“幸福家园新河湾”、“经典上城”等住宅楼盘，区域内有成都市青白江区实验小学、北大附中成都为明学校、石家碾社区卫生服务站、青白江友爱医院、家乐福超市、沃尔玛、中国建设银行、交通银行等公共及生活配套设施，区域内有q5路、q6路、q23路、q50路、q52路、601路等经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
新城豪庭,估价对象所在小区北临其他；西临锦溪路；南临滨江西路；东临金地路。,周边有“世玺”、“金地二期”等住宅楼盘，区域内有新都新繁幼儿园、繁江小学、繁江中学、新都第二人民医院、新都区东湖康复医院、新繁综合市场、吉选购物中心、红旗超市、东湖公园、邮政储蓄银行、民生银行、建设银行等公共及生活配套设施，区域内有新繁1路、x45路、x62路、新都f3路等公交车经过，公共交通便捷度和道路通达度较好，居家生活比较便利。,,,,
水沐天城,估价对象所在小区西北临兴乐南路；东北临马超东路；西南临学院路东二段；东南临绕城大道东一段。,周边有“东骏湖景湾”、“万和小区”等住宅楼盘，区域内有蒙台梭利(东骏)阳光幼稚园、新都香城小学、香城中学、四川音乐学院、崇义村卫生站、万和商业广场、泗义民苑综合市场、红旗超市、贵阳银行、中信银行、成都市农村商业银行等公共及生活配套设施，区域内有x06路、x07路、x08路、x10路、新都k12路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
炜岸城1期,估价对象所在小区西北临金枫路；西南临金桉路；东南临龙城大道；东北临驿都大道。,周边有“保利·玫瑰花语”、“龙城1号”等住宅楼盘，区域内有贝贝乐幼儿园、金橄榄幼儿园、大面小学校、大面中学、大面公立卫生院、洪河社区卫生服务中心、九龙汇广场、大面综合市场、红旗超市、中国邮政储蓄银行、中国银行、农商银行等公共及生活配套设施，区域内有218路、854路、856路、898路等公交车经过，距离地铁2号线“大面铺”站沿路距离约1.5公里，公共交通便捷度和道路通达度好，居家生活便利。,,,,
沙河湾,估价对象所在小区北临其他；西临长天路；南临其他；东临五桂桥北路。,周边有“华府沙河”、“金宇花园”等住宅楼盘，区域内有成都石室小学、五桂桥小学、金苹果博文幼稚园、银河商业广场、永兴百货、红旗超市、四川省第二中医院、成都市第六人民医院、中国建设银行、大连银行、中国银行等公共及生活配套设施，区域内有1026路、97路、219路、857路、5路等公交车经过，距地铁4号线“万年场”站沿路距离约1.0公里，公共交通便捷度和道路通达度好，居家生活便利。,,,,
龙跃公寓,估价对象所在小区西北临道路；东北临龙平路；西南其他；东南临其他。,周边有“阳光香榭”、“东方魅力水云涧”等住宅楼盘，区域内有蓝天幼儿园、龙泉驿区第一小学、龙泉驿区第七中学、龙泉龙都医院、龙泉驿区中医院、亚热带商场、锦宏·时代广场购物中心、红旗超市、建设银行、中国银行、邮储银行等公共及生活配套设施，区域内有859路、860路、878路、879路、571路等公交车经过，距地铁2号线“龙泉驿”站沿路距离约530米，公共交通便捷度和道路通达度好，居家生活便利。,,,,
华凌尚城,估价对象所在小区东临玉赛路；西临五福桥路；北临通道；南临住宅。,周边有“恒业星园”、“金都苑”等住宅楼盘，区域内有快乐幼儿园、成都市五块石小学校、九里堤小学校、成都市五块石卫生站、世博医院、远东百货、成都海椒城五块石综合市场、红旗超市、中国农业银行、中国工商银行、中国建设银行等公共及生活配套设施，区域内有24路、52路、73路、103路、123路、191路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
锦苑三期,估价对象所在小区西北临其他；西南临河道；东南临其他；东北临校园路。,周边有“西郡兰庭”、“万树森林”等住宅楼盘，区域内有成都郫县西南交大幼儿园、成都犀浦外国语学校、西南交通大学、国家二级甲等医院、郫县振华医院、锦园社区农贸市场、苏宁易购、犀浦蔬菜贸易市场、红旗超市、建设银行、工商银行、农村商业银行等公共及生活配套设施，区域内有p101路、119路、231路、710路、p07路等公交车经过，距地铁2号线“犀浦”站约970米，公共交通便捷度好，道路通达度好，区域内居家生活便利。,,,,
金房水韵天府,估价对象所在小区东临王贾路；西临王贾西街；北临王贾西路；南临中环路洞子口路段。,周边有“香江岸”、“三九?绿城”等住宅楼盘，区域内有金韵幼儿园、成都市金牛区王贾桥小学、成都金牛区妇幼保健院、龙湖北城天街购物广场、永辉超市、红旗超市、北湖凝翠公园、沙河公园、工商银行、民生银行、农商银行等公共及生活配套设施，区域内有16路、25路、46路、52路、90路、105路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活方便。,,,,
东福苑A区,估价对象所在小区东北临其他；西北临一环路东北段；东南临城东巷；西南临东大街。,周边有“西汇佳苑”、“蜀都新城”等住宅楼盘，区域内有郫县机关幼儿园、郫县郫筒小学校、郫都区一中、郫都区人民医院、郫都区中医院、百伦广场、东街综合市场、红旗超市、中国建设银行、中国邮政储蓄银行、中国工商银行等公共及生活配套设施，区域内有705路、708路、725路、p07路、p33路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
蜀都新城,估价对象所在小区西北临其他；西南临东大街；东北临道路；东南临一环路东北段。,周边有“西汇佳苑”、“鹃城帝景”等住宅楼盘，区域内有郫县示范幼儿园、郫县郫筒小学校、华西中学、郫县人民医院、郫县中医院、东街综合市场、红旗超市、农村商业银行、建设银行、工商银行等公共及生活配套设施，区域内有p32路、p33路、705a路、705路、725路等公交车经过，公共交通便捷度好，道路通达度好，区域内居家生活便利。,,,,
向阳三期,估价对象所在小区东北临富民路一段；东南临其他；西南临其他；西北临其他。,周边有“西藏地质花苑”、“海棠金宇府河花园”等住宅楼盘，区域内有心悦幼儿园、华阳实验小学、华阳第三中学、成都市天府新区人民医院、圣伦百货、红旗连锁超市、华阳综合市场便民临时过渡市场、农业银行、交通银行、招商银行等公共及生活配套设施，区域内有503a路、523路、t209路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较方便。,,,,
银通苑,估价对象所在小区东南临其他；西南临东篱路；西北临其他；东北临其他。,周边有“九龙仓·御园”、“花样年花郡”等住宅楼盘，区域内有成都市成华小学新校区、成都石室中学初中学校(东区)、四川省成都列五中学、成都市第六人民医院、成都北区医院、成都市第二人民医院、万象城、SM广场(二环路店)、中国农业银行、中国工商银行(万年场分理处)、建设银行等公共及生活配套设施，区域内有8路、128路、182路、297路、1005路等公交车经过，距地铁4号线“双桥路”站沿路距离约1.2公里，公共交通便捷度好，道路通达度好，居家生活便利。,,,,
中国核动力院宿舍区,估价对象所在小区东临玉林北路；西临其他；南临其他；北临一环路南三段。,周边有“新康家园”、“江南苑”等住宅楼盘，区域内有芳草小学、玉林中学、玉林小学、华西高新医院、四川大学华西医院、玉林综合市场、金茂广场、红旗超市、招商银行、农业银行、中国银行等公共及生活配套设施，区域内有12路、19路、27路、34路、45路等公交车经过，距地铁3号线“衣冠庙”站约380米，公共交通便捷度和道路通达度好，区域内居家生活方便。,,,,
金山花园,估价对象所在小区西北临其他；西南临幸福路；东北临其他；东南临其他。,周边有“金山御景蓝湾”、“林溪美城”等住宅楼盘，区域内有成都市龙泉驿区第十七小学校、同安小学、成都信息工程大学龙泉校区、华大医院、同安公立卫生院、红旗超市、舞东风超市、中国邮政储蓄银行、成都市农村商业银行等公共及生活配套设施，区域内有850路、869路、l006a路、l020a等公交车经过，公共交通便捷度和道路通达度较好，居家生活较便利。,,,,
聚智苑,估价对象所在小区东北临其他；西北临益新大道；东南临京昆高速；西南临仁和街。,周边有“新南小区”、“新街社区”等住宅楼盘，区域内有成都高新新源学校、高新区六幼新南幼儿园、蓝贝幼儿园、石羊社区卫生服务中心、石羊医院、新园综合农贸市场、红旗超市、交通银行、农商银行等公共及生活配套设施，区域内有91路、220路、804路、805路、824路、g78路等公交车经过，公共交通便捷度和道路通达度好，居家生活便利。,,,,
卡碧蓝湾,估价对象所在小区东北临丰安路；西南临道路；西北临道路；东南临丰收巷。,周边有“澜溪郡”、“ 喜安小区”等住宅楼盘，区域内有郫都区安靖镇第二幼儿园、郫县安靖学校、郫县东区医院、安靖镇卫生院、喜安综合市场、百乐惠购物中心、红旗超市、邮政储蓄银行、成都市农村商业银行、工商银行等公共及生活配套设施，区域内有有656路、678路、103路、p45路、95路、p31路等公交车经过，公共交通便捷度较好，道路通达度较好，区域内居家生活比较方便。,,,,
上锦颐园一期,估价对象所在小区东北临尚文路；西北临尚锦路；西南临西区大道；东南临尚华路。,周边有“缤纷年华”、“万景峰西区”等住宅楼盘，区域内有托普信息技术职业学院、成都高新区尚阳小学、悦睿上锦幼儿园、四川托普学院医院、成都上锦南府医院、鑫鑫蔬菜、尚阳路农贸市场、红旗超市、成都银行、建设银行、工商银行等公共及生活配套设施，区域内有173路、205路、314a路、314路、705路、p20路、p21路、p37路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活便利。,,,,
麓山国际半月湾,估价对象所在小区北临其他；西临道路；南临道路；东临万新路。,周边有“东林春天二期”、“圣塔·芭芭拉”等住宅楼盘，区域内有123澳中国际双语幼稚园学、成都市实验外国语学校、国家监察官学院四川分院、双流普济医院、麓山生活超市、红旗超市、711便利店、建设银行、兴业银行、民生银行等公共及生活配套设施，区域内有571路、t208路、t33路、t45路、t36路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活舒适方便。,,,,
博雅新城D区,估价对象所在小区北临滨河路一巷；西临高堆路；南临其他；东临滨河路一巷。,周边有“新丰嘉苑”、“翰林苑”等住宅楼盘，区域内有智慧树双语幼儿园、新都区大丰小学、大丰中学、新都协和康复医院、大丰街道大丰社区卫生服务中心、方营社区-卫生站、高堆菜市、世纪百盛购物广场、福光超市、中国农业银行、成都市农村商业银行、中国工商银行等公共及生活配套设施，区域内有15路、24路、168路、169路、g26路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
合能珍宝琥珀,估价对象所在小区东临凤凰南大街；西临花土东街；南临花土路；北临其他。,周边有“香瑞湖花园”、“彩叠园”等住宅楼盘，区域内有启文幼儿园、澳洲阳光幼稚园、成都七中实验学校、前丰村医疗公共卫生服务站、凤凰市场、红旗超市、工商银行、民生银行等公共及生活配套设施，区域内有761路、309路、319路、347路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
博雅新城B区,估价对象所在小区东北临商业一街；西南临晓初滨河路；西北临高堆路；东南临滨河路一巷。,周边有“蓝光花满庭2期”、“融创凯旋公馆”等住宅楼盘，区域内有智慧树双语幼儿园、新都区大丰小学、大丰中学、新都协和康复医院、大丰街道大丰社区卫生服务中心、方营社区-卫生站、高堆菜市、世纪百盛购物广场、福光超市、中国农业银行、成都市农村商业银行、中国工商银行等公共及生活配套设施，区域内有15路、24路、168路、169路、g26路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
兴蓉佳苑,估价对象所在小区东北临其他；西北临高升桥东路；西南临维信街；东南临其他。,周边有“兴蓉苑”、“德政苑”等住宅楼盘，区域内有罗浮世家科技实验幼儿园、成都市红牌楼小学、成都西川中学、西南民族大学、成都市武侯区人民医院、肖家河社区卫生服务中心、沃尔玛超市、肖家河综合市场、国美电器、中国建设银行、中信银行、中国银行等公共及生活配套设施，区域内有10路、45路、141路、153路、242路、1011路等公交车经过，距地铁3号线“高升桥站”沿路距离约700米，公共交通便捷度和道路通达度好，居家生活便利。,,,,
金竹苑小区,估价对象所在小区西北临道路；西南临玉龙五巷；东南临恒山南街；东北临其他。,周边有“阳光雅舍”、“西区名宅”等住宅楼盘，区域内有玉龙幼儿园、育才幼儿园、犀浦镇实验学校、郫县中西医结合医院、四川省交通厅公路局医院、鑫大百盛购物中心、犀池综合市场、交通银行、中国银行、建设银行等公共及生活配套设施；区域内有708路、726路、733路、p102路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
锦苑,估价对象所在小区北临锦苑巷；西临科院街；南临锦绣巷；东临锦绣街。,周边有“秀苑”、“棕北公寓”等住宅楼盘，区域内有四川大学、棕北中学、金苹果新蒙特梭利幼稚园、成都棕南妇科医院、跳伞塔棕北社区卫生站、沃尔玛、仁和春天百货棕北店、盛隆街农贸市场、成都银行、工商银行、建设银行等公共及生活配套设施，区域内有6路、49路、55路、62路、92路、102路等公交车，距地铁1号线“倪家桥”站沿路距离约800米，公共交通便捷度和道路通达度好，居家生活便利。,,,,
紫檀山,估价对象所在小区西北临其他，西南临春江路，东北临道路，东南临万福街。,周边有“英郦庄园”、“花乡民居”等住宅楼盘，区域内有四川电力职业技术学院、花乡民居幼儿园、温江天乡医院、红星村医疗公共卫生服务站、国色天香乐园、天乡大市场、红旗超市、国色天香商业街、中国邮政储蓄银行、成都市农村商业银行等公共及生活配套设施，区域内有温江604路、温江205路、904路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
西郡英华3期,估价对象所在小区东北临其他；西北临其他；东南临道路；西南临道路。,周边有“上置.绿洲雅宾花园”、“蓉树园”等住宅楼盘，区域内有中铁瑞城.西郡英华1期幼儿园、尚阳小学、思源学校、成都上锦南府医院、郫县红光镇卫生院、好又多购物超市、红旗超市、鲜绿源菜市、交通银行、中国邮政银行等公共及生活配套设施，区域内有p07路、p103路、p15路、p19路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
首创·万卷山,估价对象所在小区西北临其他；东北临青台山路；西南临其他；东南临汽车城大道。,周边有“合能四季映像”、“泰华锦城”等住宅楼盘，区域内有意乐幼儿园、四川师大附属启夏幼儿园、四川财经职业学院、大面公立卫生院、青台山农贸市场、联合一百购物广场、红旗超市、中国银行、农业银行等公共及生活配套设施，区域内有223路、871路、873路、874路、218路、854a路、854路、871路、873路、898路、l019路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
富临·清江雅居,估价对象所在小区北临其他；西临大庆路；南临清江东路；东临其他。,周边“清江花园”、“银杏广场”等住宅楼盘，区域内有成都市浣花小学、成都十八中(金琴路)、金牛实验中学校、成都中医大学附属医院、青羊区第五人民医院、石人农贸市场、民生市场、红旗超市、工商银行、招商银行、邮政银行等公共及生活配套设施，区域内有1031路、43路、59路、1003路、13路等公交车经过，公共交通便捷度好，区域内居家生活方便。,,,,
恒大绿洲二期,估价对象所在小区东北临其他；西北临车城西四路；东南临银河路、兴业路；西南临经开区南一路。,周边有“银河花园”、“西博苑”等住宅楼盘，区域内有龙华村双语幼儿园、龙泉驿区第十小学校幼儿园、成都龙泉第十小学校、成都开发区实验高级中学、大面街道龙安社区卫生服务站、红旗超市、中国银行、工商银行、建设银行等公共及生活配套设施，区域内有855路、898路、332路、23路、313路等公交车经过，公共交通便捷度较好，道路通达度较好，居家生活较便利。,,,,
北新国际,估价对象所在小区东临道路；南临敬成路；西临互惠大道；北临桂蕊街。,周边有“美好小区”、“亲河美地”等住宅楼盘，区域内有新都一中城北校区、大丰小学三元校区、爱德堡幼稚园、成都市新都区第三人民医院、新都区大丰镇医院、华美市场、红旗超市、石犀市场、工商银行、农业银行、邮政银行等公共及生活配套设施，区域内有新都d1a路、新都d1b路、新都d4路、新都d3路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
山水四季城,估价对象所在小区西北临其他；西南临其他；东南临其他；东北临龙都北路。,周边有“天悦国际”、“玉龙山庄”等住宅楼盘，区域内有龙泉驿区二小、滨河玉龙生态幼儿园、四川旅游学院、龙泉康雅医院、四川省卫生学校附属医院、万众超市、邮政储蓄银行、成都龙泉稠州村镇银行香水支行等公共及生活配套设施，区域内有850路、885路、1006a路、1022路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活比较便利。 ,,,,
营策巷社区,估价对象所在小区西北临通道；东北临其他；西南临营策巷；东南临营通街。,周边有“福成园”、“颐园”等住宅楼盘，区域内有金琴路小学、金牛实验中学校、石室联合中学、成都市西区医院、四川省妇女儿童医院、抚琴综合市场、建设银行、成都市农村商业银行、成都银行等公共及生活配套设施，区域内有1071路、快速公交k2路、快速公交k1路、7路、32路等公交车经过，距地铁2号线“蜀汉路东”站约530米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
蜀源小区,估价对象所在小区东北临十里大道二段；东南临顺运街；西南临其他；西北临其他。,周边有“水韵金沙”、“金泉丽都”等住宅楼盘，区域内有天之娇智能幼儿园、金山宝贝幼儿园、金沙小学、金堂仁爱医院、金堂龙济医院、金山综合市场、永辉超市、红旗超市、中国银行、中国农业银行、中国邮政储蓄银行等公共及生活配套设施，区域内有602路、金堂2路、金堂7路、金堂8路、金堂10路、金堂11路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
花样年花样城,估价对象所在小区北临道路；南临骑士大道；西临温泉大道三段；东临道路。,周边有“光明苑”、“先生别墅”等住宅楼盘，区域内有金贝德幼儿园、光明幼儿园、温江柳林兴元小学、温江区人民医院柳林分院、双流县第一人民医院柑梓分院、洲际春天广场、天来国际广场、家乐福、世纪华联超市、中国邮政储蓄银行、交通银行等公共及生活配套设施，区域内有w16路、347路、761路、w22等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
时代锦翠,估价对象所在小区北临新水碾路；西临道路；南临桂蕊街；东临方元路。,周边有“美好小区”、“亲河美地”等住宅楼盘，区域内有新都一中城北校区、大丰小学三元校区、爱德堡幼稚园、成都市新都区第三人民医院、新都区大丰镇医院、华美市场、红旗超市、石犀市场、工商银行、农业银行、邮政银行等公共及生活配套设施，区域内有新都d1a路、新都d1b路、新都d4路、新都d3路等公交车经过，公共交通便捷度和道路通达度好，居家生活便利。,,,,
林溪美城,估价对象所在小区东南临五环路东段；西南临其他；西北临其他；东北临其他。,周边有“金山御景蓝湾”、“金山花园”等住宅楼盘，区域内有金阳阳幼儿园、同安小学、成都信息工程大学龙泉校区、同安公立卫生院、华大医院、泰禧儿童智慧广场、红旗超市、中国邮政储蓄银行、成都市农村商业银行等公共及生活配套设施，区域内有850路、869路、l006a路、l020a路等公交车经过，公共交通便捷度较好，道路通达度较好，区域内居家生活比较方便。,,,,
雅云轩,估价对象所在小区西南临永安街；东南临创业北街；东北临其他；西北临其他。,周边有“永安小区”、“锦苑小区”等住宅楼盘，区域内有龙泉驿区第一小学校、龙泉驿区第七中学校、龙泉驿区实验小学校、龙泉长康医院、龙泉驿区中医院、龙泉航天社区卫生服务中心、成都人民商场、锦宏-时代广场购物中心、航天综合菜市、红旗超市、农业银行、建设银行、农商银行等公共及生活配套设施，区域内有878路、879路、887路、1001a路等公交车经过，距地铁2号线“龙泉驿”沿路距离约630米，公共交通便捷度和道路通达度好，区域内居家生活便利。 ,,,,
大发白度城,估估价对象所在小区东北临其他，西北临其他，西南临岳府街，东南临竹林巷。,周边有“缤舍”、“都仕闲庭”等住宅楼盘，区域内有成都市和平街小学、成都市第十七中学、北京师大成都实验中学、成都市第二人民医院、成都市第一人民医院（北区）、成都锦一医院、人人乐购物广场、春熙路商圈、农业银行、工商银行、建设银行等公共及生活配套设施，区域内有3路、18路、341路、37路等公交车经过，距地铁2、4号线“市二医院”站约400米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
金楠国际,估价对象所在小区东北临中环路武阳大道段；西北临太平园东五街；西南临其他；东南临太平园东四街。,周边有“双楠忆景”、“武侯庭园”等住宅楼盘，区域内有成都市第三十三幼儿园、成都市太平小学、成都市武侯科技园小学、成都双楠医院、龙爪社区卫生服务中心、成都市武侯区第二人民医院、鹭岛国际商业街、外双楠农贸市场、永辉超市、中国农业银行、中信银行、中国建设银行等公共及生活配套设施，区域内有45路、53路、72路、165路、201路、334路、368a路、368路、1028路等公交车经过，距地铁7号线“武侯大道”沿路距离约300米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
和裕欧景,估价对象所在小区东临其他；西临其他；南临金橘街；北临其他。,周边有“希望未来城”、“ 星岛国际”等住宅楼盘，区域内有好孩子幼儿园、欧亚洲华人三星镇小学、三星中学区、金堂瑞博中西医结合医院、万千购物中心、星岛购物中心、红旗超市、中国建设银行、成都市农村商业银行、中国农业银行等公共及生活配套设施，区域内有金堂10路、金堂7路、金堂11路、金堂2路、金堂3路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
华业.北新国际,估价对象所在小区东临道路；南临敬成路；西临互惠大道；北临桂蕊街。,周边有“美好小区”、“亲河美地”等住宅楼盘，区域内有新都一中城北校区、大丰小学三元校区、爱德堡幼稚园、成都市新都区第三人民医院、新都区大丰镇医院、华美市场、红旗超市、石犀市场、工商银行、农业银行、邮政银行等公共及生活配套设施，区域内有新都d1a路、新都d1b路、新都d4路、新都d3路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
新华园,估价对象所在小区北临双林北支路；西临双林北横路；南临道路；东临其他。,周边有“恒大中央广场”、“万晟社区”等住宅楼盘，区域内有成都市第十四幼儿园、成都市成华小学、成都市双林小学校、成都成华城东医院、成都新华医院、银行商业广场、成都新鸿农贸市场、红旗超市、中国工商银行、农业银行、农商银行等公共及生活配套设施，区域内有65路、71路、75路、114路等公交车经过，距离地铁4号线“双桥路”站沿路距离约1.1公里，公共交通便捷度和道路通达度好，居家生活便利。,,,,
